ID caso;Nombre Actividad;Inicio;Fin;Ejecutor
1;Alarma domiciliaria;01-06-2021 07:19:56;01-06-2021 07:19:56;Sistema
1;Revisar cámaras;01-06-2021 07:20:18;01-06-2021 07:23:46;Bastian
1;Te atrapé;01-06-2021 07:23:46;01-06-2021 07:23:46;Bastian
1;Señal persona casa;01-06-2021 07:25:08;01-06-2021 07:25:29;Bastian
2;Alarma domiciliaria;01-06-2021 07:53:58;01-06-2021 07:53:58;Sistema
2;Revisar cámaras;01-06-2021 07:54:12;01-06-2021 07:55:42;Bastian
2;Registrar hecho fortuito;01-06-2021 07:55:42;01-06-2021 07:55:42;Bastian
2;Avisar hecho fortuito;01-06-2021 07:56:05;01-06-2021 08:00:24;Bastian
3;Alarma domiciliaria;01-06-2021 08:28:35;01-06-2021 08:28:35;Sistema
3;Revisar cámaras;01-06-2021 08:28:50;01-06-2021 08:33:50;Bastian
3;Registrar hecho no precisado;01-06-2021 08:33:50;01-06-2021 08:33:50;Bastian
3;Solicitar revisar alarma;01-06-2021 08:34:09;01-06-2021 08:37:36;Bastian
4;Alarma domiciliaria;01-06-2021 09:02:23;01-06-2021 09:02:23;Sistema
4;Revisar cámaras;01-06-2021 09:02:53;01-06-2021 09:07:53;Bastian
4;Registrar hecho no precisado;01-06-2021 09:07:53;01-06-2021 09:07:53;Bastian
4;Solicitar revisar alarma;01-06-2021 09:08:11;01-06-2021 09:11:33;Bastian
5;Alarma domiciliaria;01-06-2021 09:37:02;01-06-2021 09:37:02;Sistema
5;Revisar cámaras;01-06-2021 09:37:10;01-06-2021 09:38:43;Bastian
5;Te atrapé;01-06-2021 09:38:43;01-06-2021 09:38:43;Bastian
5;Registrar intruso detectado;01-06-2021 09:39:11;01-06-2021 09:40:20;Bastian
5;Activar alarma casa;01-06-2021 09:40:51;01-06-2021 09:40:51;Bastian
5;Alertar móvil de seguridad;01-06-2021 09:41:11;01-06-2021 09:43:06;Bastian
5;Concurrir a casa afectada;01-06-2021 09:43:07;01-06-2021 10:18:56;Florencia
5;Contactar dueño casa;01-06-2021 10:19:22;01-06-2021 10:21:47;Florencia
5;Notificar llegada a central;01-06-2021 10:21:47;01-06-2021 10:22:36;Florencia
5;Revisar eventuales daños;01-06-2021 10:24:16;01-06-2021 10:44:43;Florencia
5;Notificar fin operativo;01-06-2021 10:47:48;01-06-2021 10:50:53;Florencia
5;Dar mensajes disuasivos;01-06-2021 09:43:18;01-06-2021 09:44:06;Bastian
6;Alarma domiciliaria;01-06-2021 10:11:29;01-06-2021 10:11:29;Sistema
